Year,Name,Code,State,Population
2014,ALABAMA,AL,1,4779736
2014,ALASKA,AK,2,710231
2014,ARIZONA,AZ,4,6392017
2014,ARKANSAS,AR,5,2915918
2014,CALIFORNIA,CA,6,37253956
2014,COLORADO,CO,8,5029196
2014,CONNECTICUT,CT,9,3574097
2014,DELAWARE,DE,10,897934
2014,FLORIDA,FL,12,18801310
2014,GEORGIA,GA,13,9687653
2014,HAWAII,HI,15,1360301
2014,IDAHO,ID,16,1567582
2014,ILLINOIS,IL,17,12830632
2014,INDIANA,IN,18,6483802
2014,IOWA,IA,19,3046355
2014,KANSAS,KS,20,2853118
2014,KENTUCKY,KY,21,4339367
2014,LOUISIANA,LA,22,4533372
2014,MAINE,ME,23,1328361
2014,MARYLAND,MD,24,5773552
2014,MASSACHUSETTS,MA,25,6547629
2014,MICHIGAN,MI,26,9883640
2014,MINNESOTA,MN,27,5303925
2014,MISSISSIPPI,MS,28,2967297
2014,MISSOURI,MO,29,5988927
2014,MONTANA,MT,30,989415
2014,NEBRASKA,NE,31,1826341
2014,NEVADA,NV,32,2700551
2014,NEW HAMPSHIRE,NH,33,1316470
2014,NEW JERSEY,NJ,34,8791894
2014,NEW MEXICO,NM,35,2059179
2014,NEW YORK,NY,36,19378102
2014,NORTH CAROLINA,NC,37,9535483
2014,NORTH DAKOTA,ND,38,672591
2014,OHIO,OH,39,11536504
2014,OKLAHOMA,OK,40,3751351
2014,OREGON,OR,41,3831074
2014,PENNSYLVANIA,PA,42,12702379
2014,RHODE ISLAND,RI,44,1052567
2014,SOUTH CAROLINA,SC,45,4625364
2014,SOUTH DAKOTA,SD,46,814180
2014,TENNESSEE,TN,47,6346105
2014,TEXAS,TX,48,25145561
2014,UTAH,UT,49,2763885
2014,VERMONT,VT,50,625741
2014,VIRGINIA,VA,51,8001024
2014,WASHINGTON,WA,53,6724540
2014,WEST VIRGINIA,WV,54,1852994
2014,WISCONSIN,WI,55,5686986
2014,WYOMING,WY,56,563626
2013,ALABAMA,AL,1,4626595
2013,ALASKA,AK,2,681111
2013,ARIZONA,AZ,4,6353421
2013,ARKANSAS,AR,5,2830557
2013,CALIFORNIA,CA,6,36377534
2013,COLORADO,CO,8,4842770
2013,CONNECTICUT,CT,9,3489868
2013,DELAWARE,DE,10,861953
2013,FLORIDA,FL,12,18199526
2013,GEORGIA,GA,13,9523297
2013,HAWAII,HI,15,1277356
2013,IDAHO,ID,16,1496145
2013,ILLINOIS,IL,17,12825809
2013,INDIANA,IN,18,6335862
2013,IOWA,IA,19,2983360
2013,KANSAS,KS,20,2777382
2013,KENTUCKY,KY,21,4236308
2013,LOUISIANA,LA,22,4373310
2013,MAINE,ME,23,1315398
2013,MARYLAND,MD,24,5618899
2013,MASSACHUSETTS,MA,25,6467915
2013,MICHIGAN,MI,26,10049790
2013,MINNESOTA,MN,27,5182360
2013,MISSISSIPPI,MS,28,2921030
2013,MISSOURI,MO,29,5878399
2013,MONTANA,MT,30,956624
2013,NEBRASKA,NE,31,1769473
2013,NEVADA,NV,32,2554344
2013,NEW HAMPSHIRE,NH,33,1312256
2013,NEW JERSEY,NJ,34,8653126
2013,NEW MEXICO,NM,35,1964402
2013,NEW YORK,NY,36,19429316
2013,NORTH CAROLINA,NC,37,9041594
2013,NORTH DAKOTA,ND,38,637904
2013,OHIO,OH,39,11477641
2013,OKLAHOMA,OK,40,3608123
2013,OREGON,OR,41,3735549
2013,PENNSYLVANIA,PA,42,12419930
2013,RHODE ISLAND,RI,44,1053136
2013,SOUTH CAROLINA,SC,45,4404914
2013,SOUTH DAKOTA,SD,46,795689
2013,TENNESSEE,TN,47,6149116
2013,TEXAS,TX,48,23843432
2013,UTAH,UT,49,2668925
2013,VERMONT,VT,50,620748
2013,VIRGINIA,VA,51,7698775
2013,WASHINGTON,WA,53,6449511
2013,WEST VIRGINIA,WV,54,1809836
2013,WISCONSIN,WI,55,5598893
2013,WYOMING,WY,56,523252
2012,ALABAMA,AL,1,4779736
2012,ALASKA,AK,2,710231
2012,ARIZONA,AZ,4,6392017
2012,ARKANSAS,AR,5,2915918
2012,CALIFORNIA,CA,6,37253956
2012,COLORADO,CO,8,5029196
