country,continent
Philippines,Asia
Samoa,Asia
Cambodia,Asia
Kenya,Africa
Pakistan,Asia
Kyrgyzstan,Asia
Bolivia,South America
Nicaragua,North America
Uganda,South America
Tanzania,Africa
Zimbabwe,Africa
Nigeria,Africa
Guatemala,North America
Rwanda,Africa
Dominican Republic,North America
Peru,South America
El Salvador,North America
Lao PDR,Asia
Ghana,Africa
Honduras,North America
Tajikistan,Asia
Indonesia,Asia
Liberia,Africa
Ecuador,South America
Mongolia,Asia
Burkina Faso,Africa
Colombia,South America
Congo (Dem. Rep.),Africa
Mexico,North America
Kosovo,Europe
Togo,Africa
Paraguay,South America
Benin,Africa
Jordan,Asia
Georgia,Asia
Sierra Leone,Africa
Vietnam,Asia
Cameroon,Africa
Azerbaijan,Europe
Mali,Africa
Senegal,Africa
Nepal,Asia
Mozambique,Africa
Iraq,Asia
Armenia,Europe
United States,USA
India,Asia
Lebanon,Asia
China,Asia
Ukraine,Europe
Costa Rica,North America
South Sudan,Africa
Palestine,Asia
Albania,Europe
Madagascar,Africa
Burundi,Africa
Sri Lanka,Asia
Egypt,Africa
Congo (Rep.),Africa
Afghanistan,Asia
Malawi,Africa
Timor-Leste,Asia
Bulgaria,Europe
Zambia,Africa
Yemen,Asia
Turkey,Europe
South Africa,Africa
Israel,Asia
Haiti,North America
Chile,South America
Suriname,South America
Myanmar (Burma),Asia
Brazil,South America
Chad,Africa
Somalia,Africa
Moldova,Europe
Thailand,Asia
Cote D'Ivoire,Africa
Solomon Islands,Asia
Lesotho,Africa
Panama,North America
Bosnia and Herzegovina,Europe
Belize,South America
